-1.007,0.568,7.503,-14.184,-0.048,0.075,-0.978,1.644
-0.976,-0.362,6.431,-13.319,-0.040,0.059,-0.818,1.402
-0.718,-0.157,7.338,-14.208,-0.030,0.042,-0.745,1.234
-0.390,0.622,8.731,-13.937,-0.023,0.026,-0.720,1.024
0.315,0.540,8.946,-13.868,-0.006,0.000,-0.520,0.697
0.766,-0.427,9.457,-13.646,0.005,-0.019,-0.411,0.449
-0.144,-0.134,8.609,-16.583,0.015,-0.038,-0.245,0.358
0.922,1.706,10.366,-13.496,0.027,-0.058,-0.181,-0.055
2.744,-0.302,9.999,-10.986,0.039,-0.077,-0.011,-0.407
3.346,-1.981,10.154,-13.933,0.050,-0.096,0.119,-0.509
2.160,1.021,10.950,-13.936,0.061,-0.116,0.218,-0.754
3.869,-2.348,9.910,-13.335,0.071,-0.130,0.391,-0.964
3.589,-1.172,8.750,-9.378,0.080,-0.147,0.566,-1.365
3.932,-1.077,9.459,-8.839,0.088,-0.159,0.628,-1.548
4.528,-3.403,8.906,-11.867,0.098,-0.178,0.782,-1.627
2.818,-1.581,4.204,-6.488,0.103,-0.191,1.079,-2.061
0.907,3.513,7.280,-6.864,0.111,-0.203,1.027,-2.190
6.537,-6.805,10.372,-13.076,0.121,-0.224,0.988,-2.148
4.297,-1.787,9.435,-11.951,0.128,-0.235,1.134,-2.340
0.771,3.296,-5.042,6.422,0.093,-0.173,1.416,-2.480
4.765,-7.700,-5.042,6.422,0.093,-0.173,1.416,-2.480
3.227,-1.680,-6.585,19.452,0.087,-0.155,1.420,-2.915
-2.943,7.285,-17.462,33.649,0.050,-0.085,1.495,-2.747
-2.943,7.285,-17.462,33.649,0.050,-0.085,1.495,-2.747
-2.846,7.755,-15.135,32.084,0.042,-0.070,1.283,-2.483
-4.863,3.336,-13.443,14.689,0.016,-0.031,0.871,-1.125
-4.736,3.666,-12.148,13.654,0.011,-0.025,0.748,-1.000
-5.314,2.305,-12.210,9.068,0.006,-0.019,0.682,-0.694
-5.315,0.765,-9.988,4.379,-0.002,-0.012,0.477,-0.366
-4.821,-0.072,-8.860,2.951,-0.005,-0.010,0.382,-0.273
-4.814,-0.201,-8.640,1.830,-0.008,-0.008,0.336,-0.197
-5.168,-0.007,-8.399,1.676,-0.012,-0.006,0.275,-0.155
-4.767,-0.139,-6.939,1.011,-0.013,-0.005,0.181,-0.109
-4.565,-0.237,-5.831,0.713,-0.015,-0.004,0.110,-0.087
-3.970,-0.904,-4.681,-0.442,-0.016,-0.003,0.039,-0.018
-3.784,-1.236,-4.351,-0.818,-0.016,-0.003,0.020,0.001
-3.271,-1.179,-3.427,-1.134,-0.016,-0.003,-0.023,0.015
-3.412,-1.180,-3.507,-0.724,-0.015,-0.003,-0.015,-0.004
-2.899,-1.040,-2.991,-0.732,-0.015,-0.003,-0.039,-0.005
-2.714,-0.269,-2.344,0.777,-0.014,-0.003,-0.059,-0.074
-2.158,-0.197,-1.667,0.686,-0.014,-0.002,-0.089,-0.062
-1.594,0.192,-0.632,0.737,-0.013,-0.002,-0.128,-0.058
-1.498,1.225,-1.225,1.653,-0.011,-0.000,-0.078,-0.089
-1.566,0.645,-1.370,1.614,-0.011,0.000,-0.066,-0.081
-1.489,0.486,-1.251,1.346,-0.010,0.001,-0.066,-0.061
0.137,0.418,1.314,1.098,-0.008,0.001,-0.168,-0.040
0.523,0.341,1.885,1.318,-0.007,0.001,-0.186,-0.050
1.092,0.998,2.577,2.004,-0.006,0.002,-0.198,-0.077
1.097,1.000,2.598,1.597,-0.003,0.003,-0.171,-0.047
1.121,1.155,2.182,2.068,-0.002,0.003,-0.134,-0.066
1.263,1.009,2.060,1.591,-0.001,0.003,-0.120,-0.038
1.258,1.050,1.758,1.574,-0.000,0.003,-0.094,-0.035
0.932,0.602,1.409,0.666,-0.000,0.003,-0.071,0.009
1.128,0.604,0.917,0.984,0.001,0.004,-0.038,-0.005
0.465,0.664,0.013,1.073,0.001,0.004,0.010,-0.009
